text,class,train/test,top_attention_words,masked_text_attention
I/O module arg1 failed to boot.,"bus, io module, pci",train,['module'],I/O arg1 failed to boot.
mmfs: [E] Remote host [ip] [vngpuc NODE ID] <c0n[interface ID]> refused connection IP address [ip] was not in node list file,file system,train,"['mmfs:', 'host']",[E] Remote [ip] [vngpuc NODE ID] <c0n[interface ID]> refused connection IP address [ip] was not in node list file
"NVRM: Xid (PCI:0000:84:00): 13, pid=1238, Graphics Exception: ESR 0x50d648=0xd000f 0x50d650=0x0 0x50d644=0xd3eff2 0x50d64c=0x7f",gpu,test,"['NVRM:', 'Xid']","(PCI:0000:84:00): 13, pid=1238, Graphics Exception: ESR 0x50d648=0xd000f 0x50d650=0x0 0x50d644=0xd3eff2 0x50d64c=0x7f"
The sled arg1 arg2 temperature is greater than the upper critical threshold temperature.,board,train,['temperature'],The sled arg1 arg2 is greater than the upper critical threshold temperature.
Drive array cache module error,storage,train,['Drive'],array cache module error
"Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: VLT404, Message: The System Board PS2 PG FAIL sensor detected an error with a value of Bad Volts.","voltage, current",test,"['Board', 'sensor', 'Volts.']","Server_Administrator: [NUM] - Instrumentation Severity: Critical, Category: System Health, MessageID: VLT404, Message: The System PS2 PG FAIL detected an error with a value of Bad"
"NVRM: Xid (0000:08:00): 58, Edc 00000003",gpu,train,['NVRM:'],"Xid (0000:08:00): 58, Edc 00000003"
Errors detected on drives during previous rebuildor background surface analysis scan.,storage,train,"['scan.', 'drives']",Errors detected on during previous rebuildor background surface analysis
Server Critical Fault (Service Information: Standby Fault. GPU Board/Modules. GPU Board VRD (01h)),gpu,train,"['Server', '(01h))']",Critical Fault (Service Information: Standby Fault. GPU Board/Modules. GPU Board VRD
systemd: libvirtd-admin.socket: Failed with result 'service-start-limit-hit'.,service,test,['Failed'],systemd: libvirtd-admin.socket: with result 'service-start-limit-hit'.
kernel: LustreError: LOG ID:(obd_mount.c:[kNUM]:lustre_fill_super()) Unable to mount (-19),file system,train,['LOG'],kernel: LustreError: ID:(obd_mount.c:[kNUM]:lustre_fill_super()) Unable to mount (-19)
The active Chassis Management Controller is no longer connected to an external network.,nic,train,"['Management', 'network.']",The active Chassis Controller is no longer connected to an external
"kernel: blk_update_request: I/O error, dev nvme1n1, sector [NUM] op [ADDR]:(WRITE) flags 0x[kNUM] phys_seg [NUM] prio class 0",storage,train,"['kernel:', 'blk_update_request:']","I/O error, dev nvme1n1, sector [NUM] op [ADDR]:(WRITE) flags 0x[kNUM] phys_seg [NUM] prio class 0"
Backplane arg1 power cable disconnected.,board,train,['Backplane'],arg1 power cable disconnected.
Chassis Management Controller turned off the Server arg1 because of insufficient power at inventory.,power,train,"['power', 'inventory.']",Chassis Management Controller turned off the Server arg1 because of insufficient at
abrtd: Marking '[path][ip]-[TIMESTAMP]_checked' not reportable (no 'count' item),file system,train,['abrtd:'],Marking '[path][ip]-[TIMESTAMP]_checked' not reportable (no 'count' item)
kernel: XFS (md[NUM]:) Log I/O Error Detected. Shutting down filesystem,file system,train,['Log'],kernel: XFS (md[NUM]:) I/O Error Detected. Shutting down filesystem
The health status of network fabric arg1 having fabric ID as arg2 is in Critical condition.,nic,train,"['condition.', 'network']",The health status of fabric arg1 having fabric ID as arg2 is in Critical
"kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_fid_alloc()) Can't alloc new fid, rc -19",file system,test,['LustreError:'],"kernel: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_fid_alloc()) Can't alloc new fid, rc -19"
systemd: Failed to start NVIDIA Persistence Daemon.,service,test,['systemd:'],Failed to start NVIDIA Persistence Daemon.
The power supply unit (PSU) arg1 is disabled because of a capacity mismatch and therefore the PSU is not supported on the server.,power,train,"['server.', 'power', 'PSU']",The supply unit (PSU) arg1 is disabled because of a capacity mismatch and therefore the is not supported on the
Bad block replacement error on arg1 .,storage,train,['arg1'],Bad block replacement error on .
"systemd: LSF.mount: Mount process exited, code=exited status=32",service,train,['systemd:'],"LSF.mount: Mount process exited, code=exited status=32"
DIMM Initialization Error: Processor %1 DIMM%2,memory,train,['Error:'],DIMM Initialization Processor %1 DIMM%2
Slot %1 Smart Array: The following logical drivesare failed: %2.,storage,train,['Slot'],%1 Smart Array: The following logical drivesare failed: %2.
"Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to process the event: A problem was detected related to the previous server boot. Date and time of event: Sat Apr 23 06:56:14 2022.","bios, firmware, driver",train,"['boot.', 'server', 'Server_Administrator:']","[NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to process the event: A problem was detected related to the previous Date and time of event: Sat Apr 23 06:56:14 2022."
"kernel: NVRM: Xid (PCI:[device id]): 62, pid=[PIDNUM], [kNUM]([kNUM]) [kNUM] [kNUM]",gpu,train,['kernel:'],"NVRM: Xid (PCI:[device id]): 62, pid=[PIDNUM], [kNUM]([kNUM]) [kNUM] [kNUM]"
mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[1] (connection by peer). Attempting reconnect.,file system,test,"['mmfs:', '[E]']",Close connection [ip] [sth NODE ID] <c0n[interface ID]>:[1] (connection by peer). Attempting reconnect.
"kernel: Buffer I/O error on dev sdb1, logical block 124, lost async page write",storage,train,"['Buffer', 'dev']","kernel: I/O error on sdb1, logical block 124, lost async page write"
An output over current fault detected on power supply arg1 .,"voltage, current",train,"['power', 'current']",An output over fault detected on supply arg1 .
Power supply or power backplane detection error,power,train,['Power'],supply or backplane detection error
"mmfs: [E] Timeout executing CallExitScript command ""[path]"" args ""[path] sendRequestToNodes requestExpelData [sth NODE ID] localNode "" with delay 104.857500 secs, num read status 20",file system,train,"['mmfs:', '[E]', 'CallExitScript']","Timeout executing command ""[path]"" args ""[path] sendRequestToNodes requestExpelData [sth NODE ID] localNode "" with delay 104.857500 secs, num read status 20"
Peripheral Component Interconnect Express(PCIe) Isolation Event Detected: A PCIe devicesignaled an error and was disabled,"bus, io module, pci",train,['PCIe'],Peripheral Component Interconnect Express(PCIe) Isolation Event Detected: A devicesignaled an error and was disabled
kernel: LustreError: [kNUM]: lsr07-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib failed: rc = [kNUM],file system,train,"['LustreError:', 'kernel:']",[kNUM]: lsr07-MDT[kNUM]mdc-[ID]: operation to node [ip]@o2ib failed: rc = [kNUM]
CPU arg1 voltage regulator module is absent.,"voltage, current",train,['voltage'],CPU arg1 regulator module is absent.
arg1 exceeded the maximum warning threshold.,board,train,['warning'],arg1 exceeded the maximum threshold.
mmfs: [E] Timed out in [SEC] seconds waiting for a commMsgCheckMessages reply from node [ip] [sth NODE ID]. Sending expel message.,file system,train,"['mmfs:', '[E]', '[ip]']",Timed out in [SEC] seconds waiting for a commMsgCheckMessages reply from node [sth NODE ID]. Sending expel message.
mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]>:[0] (connection by peer). Attempting reconnect.,file system,test,"['mmfs:', '[E]']",Close connection [ip] [agpu NODE ID] <c0n[interface ID]>:[0] (connection by peer). Attempting reconnect.
"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp exception (GPC 0, TPC 2, SM [NUM]:) PC Overflow",gpu,test,"['kernel:', 'Xid']","NVRM: (PCI:[device id]): 13, pid=[PIDNUM], Graphics SM Warp exception (GPC 0, TPC 2, SM [NUM]:) PC Overflow"
Unable to communicate with iDRAC.,"bmc, management module",train,['Unable'],to communicate with iDRAC.
"Fan degraded (Fan %1, Location %2)",fan,train,['Fan'],"degraded (Fan %1, Location %2)"
Slot %1 Smart Array: Storage link errorsdetected: %2,storage,train,['Slot'],%1 Smart Array: Storage link errorsdetected: %2
NFS Destination access denied.,file system,train,['NFS'],Destination access denied.
Disk drive is overheating,storage,test,['drive'],Disk is overheating
Critical temperature threshold exceeded,board,test,['temperature'],Critical threshold exceeded
Power loss detected on the Management Module at slot arg1 due to reboot or shutdown.,power,train,"['Power', 'shutdown.']",loss detected on the Management Module at slot arg1 due to reboot or
Consistency check for arg1 has detected multiple uncorrectable medium errors.,storage,train,['arg1'],Consistency check for has detected multiple uncorrectable medium errors.
SAS cable arg1 to expander arg2 is not connected.,storage,train,['cable'],SAS arg1 to expander arg2 is not connected.
The arg1 voltage is less than the lower critical threshold.,"voltage, current",train,['voltage'],The arg1 is less than the lower critical threshold.
kernel: pci [pci id] BAR [NUM]: failed to assign [io size 0x[kNUM]],os,train,"['kernel:', 'pci']",[pci id] BAR [NUM]: failed to assign [io size 0x[kNUM]]
System Board Power Protection Fault,power,train,['Power'],System Board Protection Fault
"systemd: nvidia-persistenced.service: Main process exited, code=killed, status=([NUM])[path]",service,train,['systemd:'],"nvidia-persistenced.service: Main process exited, code=killed, status=([NUM])[path]"
The Enclosure Management Module (EMM) arg1 installed in sled that is available in slot arg2 has failed.,storage,train,['slot'],The Enclosure Management Module (EMM) arg1 installed in sled that is available in arg2 has failed.
Thermal - Thermal trip detected.,board,train,['Thermal'],#NAME?
kernel: [PID](cbnMD) over core_pipe_limit,"resource management, scheduler",train,['kernel:'],[PID](cbnMD) over core_pipe_limit
mmfs: [E] Close connection [ip] [stnfs NODE ID] <c0n[interface ID]>:[1] (Broken pipe). Attempting reconnect.,file system,test,"['mmfs:', '[E]']",Close connection [ip] [stnfs NODE ID] <c0n[interface ID]>:[1] (Broken pipe). Attempting reconnect.
"systemd: gdrcopy.service: Control process exited, code=exited status=1",service,train,['systemd:'],"gdrcopy.service: Control process exited, code=exited status=1"
"%1 Inadequate power to power on: %2(Enclosure Address %3, Slot %4)",power,train,['power'],"%1 Inadequate to on: %2(Enclosure Address %3, Slot %4)"
CPU arg1 temperature is less than the lower critical threshold.,cpu,train,['CPU'],arg1 temperature is less than the lower critical threshold.
A PCI system error was detected on a component at bus arg1 device arg2 function arg3 .,"bus, io module, pci",train,"['bus', 'PCI']",A system error was detected on a component at arg1 device arg2 function arg3 .
Non-bootable diskette detected.,storage,train,['diskette'],Non-bootable detected.
Server failed to power up due to zero power allocated.,power,train,['Server'],failed to power up due to zero power allocated.
NetworkManager: <error> [LOG ID] manager: (bond[eth ID]) couldn't create the device: Failed to create bond interface 'bond[eth ID]' for 'bond[eth ID]': wrong-type,nic,train,"['NetworkManager:', 'manager:']",<error> [LOG ID] (bond[eth ID]) couldn't create the device: Failed to create bond interface 'bond[eth ID]' for 'bond[eth ID]': wrong-type
The coin cell battery in the primary CMC is not working.,battery,train,"['battery', 'cell']",The coin in the primary CMC is not working.
"dracut: dracut module 'dmraid' will not be installed, because command 'dmraid' could not be found!",os,train,"['dracut:', 'command']","dracut module 'dmraid' will not be installed, because 'dmraid' could not be found!"
mmfs: [E] mmcommon: Unexpected error from gpfsInit. Return code: 149,file system,train,['mmfs:'],[E] mmcommon: Unexpected error from gpfsInit. Return code: 149
The system performance degraded because cooling capacity has changed.,board,train,['cooling'],The system performance degraded because capacity has changed.
kernel: [PID](python3) over core_pipe_limit,"resource management, scheduler",train,['core_pipe_limit'],kernel: [PID](python3) over
"PCIe - PCI device in physical Slot arg1 , PCI Tag arg2 , is present but not responding.","bus, io module, pci",test,"['responding.', 'PCI']","PCIe - device in physical Slot arg1 , Tag arg2 , is present but not"
kernel: : section_type: PCIe error,"bus, io module, pci",train,['PCIe'],kernel: : section_type: error
systemd: nvidia-fabricmanager.service: State 'stop-final-sigterm' timed out. Killing.,service,train,['systemd:'],nvidia-fabricmanager.service: State 'stop-final-sigterm' timed out. Killing.
"kernel: LustreError: LOG ID:(statah[kNUM]:[kNUM]:start_statahead_thread()) can't start ll_sa thread, rc: -4",file system,train,['LOG'],"kernel: LustreError: ID:(statah[kNUM]:[kNUM]:start_statahead_thread()) can't start ll_sa thread, rc: -4"
Unable to boot the system because either the backplane signal cable is not installed properly or is damaged.,board,train,['boot'],Unable to the system because either the backplane signal cable is not installed properly or is damaged.
Storage enclosure problem detected,storage,train,['Storage'],enclosure problem detected
The power input for power supply arg1 is outside of range.,power,train,['range.'],The power input for power supply arg1 is outside of
Power supply arg1 is not present.,power,train,['Power'],supply arg1 is not present.
kernel: ata1: SATA link down (SStatus 0 SControl 300),storage,train,['kernel:'],ata1: SATA link down (SStatus 0 SControl 300)
System level current is less than the lower critical threshold.,"voltage, current",train,['current'],System level is less than the lower critical threshold.
"Smart Storage Battery failure (Battery %1,service information: %2)",battery,train,['Battery'],"Smart Storage failure (Battery %1,service information: %2)"
Drive arg1 in disk drive bay arg2 is in the failed array.,storage,test,"['array.', 'Drive']",arg1 in disk bay arg2 is in the failed
Hardware Installation Error: Mezzanine %1 is notcorrectly installed,"bus, io module, pci",train,['Hardware'],Installation Error: Mezzanine %1 is notcorrectly installed
"HPE Persistent Memory Configuration Error: Thesystem is populated with incompatible MemoryModule types. %1 (Major Code:%2, MinorCode:%3)","setting, config",train,"['Error:', 'Configuration']","HPE Persistent Memory Thesystem is populated with incompatible MemoryModule types. %1 (Major Code:%2, MinorCode:%3)"
systemd: gpfs.service: Failed with result 'timeout'.,service,train,['Failed'],systemd: gpfs.service: with result 'timeout'.
mmsysmon: [E] Event raised: The Spectrum Scale service process not running [path] node. Normal operation be done,file system,train,"['Event', 'mmsysmon:']",[E] raised: The Spectrum Scale service process not running [path] node. Normal operation be done
The battery on arg1 can no longer recharge.,battery,test,['battery'],The on arg1 can no longer recharge.
The power supplies are not redundant.,power,train,['The'],power supplies are not redundant.
Chassis power level current is greater than the upper critical threshold.,"voltage, current",train,"['current', 'threshold.']",Chassis power level is greater than the upper critical
The arg1 temperature is less than the lower critical threshold.,board,train,['temperature'],The arg1 is less than the lower critical threshold.
Drive arg1 in disk drive bay arg2 is in the critical array.,storage,train,"['array.', 'Drive']",arg1 in disk bay arg2 is in the critical
The system board arg1 current is greater than the upper critical threshold.,"voltage, current",train,"['current', 'threshold.']",The system board arg1 is greater than the upper critical
"Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to process the event: A fatal error was detected [path] component at bus [ID] device [ID] function Date and time of event: Sun Feb 6 16:08:00 2022.","bus, io module, pci",test,"['bus', 'process']","Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: SYS105, Message: Unable to the event: A fatal error was detected [path] component at [ID] device [ID] function Date and time of event: Sun Feb 6 16:08:00 2022."
The performance of CPU arg1 is automatically readjusted by Chassis Controller because of unacceptable change in the thermal and power conditions.,cpu,train,"['CPU', 'conditions.']",The performance of arg1 is automatically readjusted by Chassis Controller because of unacceptable change in the thermal and power
"openib[eth ID]: Module mlx5_ib does not exist, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]","bios, firmware, driver",train,['openib[eth'],"ID]: Module mlx5_ib does not exist, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]"
Drive array recovery needed,storage,test,['Drive'],array recovery needed
The arg1 sensor has detected an error with a value of arg2 degrees Celsius.,board,train,['sensor'],The arg1 has detected an error with a value of arg2 degrees Celsius.
All the NVDIMMs are disabled because the value of memory capacity of all the installed NVDIMMs has exceeded the maximum value supported by the processor.,memory,test,"['memory', 'processor.']",All the NVDIMMs are disabled because the value of capacity of all the installed NVDIMMs has exceeded the maximum value supported by the
mmfs: [E] VERBS RDMA closed connection [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]1 [cookie ID] RDMA send error IBV_WC_RETRY_EXC_ERR,file system,train,"['mmfs:', '[E]', 'connection']",VERBS RDMA closed [ip] ([stnfs NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]1 [cookie ID] RDMA send error IBV_WC_RETRY_EXC_ERR
kernel: watchdog: BUG: soft lockup - CPU#[CPU NUM] stuck for [SEC]s! [collectl:[NUM],os,train,"['kernel:', 'soft']",watchdog: BUG: lockup - CPU#[CPU NUM] stuck for [SEC]s! [collectl:[NUM]
The communication with arg1 fan arg2 is lost.,fan,test,['The'],communication with arg1 fan arg2 is lost.
"kernel: nvme nvme0: I/O 11 QID [ID] timeout, completion",storage,test,['kernel:'],"nvme nvme0: I/O 11 QID [ID] timeout, completion"
kernel: pcieport [NUM]:c5:[kNUM]: BAR [NUM]: no space for [io size 0x[kNUM]],"bus, io module, pci",train,"['pcieport', 'kernel:']",[NUM]:c5:[kNUM]: BAR [NUM]: no space for [io size 0x[kNUM]]
Fabric arg1 is down.,nic,train,['down.'],Fabric arg1 is
Processor detected a problem while performing an Intel Trusted Execution Technology (TXT) operation.,cpu,test,"['operation.', 'Processor']",detected a problem while performing an Intel Trusted Execution Technology (TXT)
nv-fabricmanager: fabric manager NVIDIA GPU driver interface version [version] don't match with driver version [version] Please update with matching NVIDIA driver package.,"bios, firmware, driver",train,"['nv-fabricmanager:', 'GPU']",fabric manager NVIDIA driver interface version [version] don't match with driver version [version] Please update with matching NVIDIA driver package.
The QuickPath Interconnect (QPI) link arg1 of the processor arg2 has a downgraded clock speed or dropped clock because of an initialization error.,"bus, io module, pci",train,"['link', 'processor']",The QuickPath Interconnect (QPI) arg1 of the arg2 has a downgraded clock speed or dropped clock because of an initialization error.
kernel: XFS (md[NUM]:) log mount failed,file system,train,['XFS'],kernel: (md[NUM]:) log mount failed
systemd: LSF.mount: Failed with result 'exit-code'.,service,train,['systemd:'],LSF.mount: Failed with result 'exit-code'.
Unable to turn on the storage sled controller arg1 in slot arg2 because the arg3 module is not functioning.,storage,train,"['storage', 'module']",Unable to turn on the sled controller arg1 in slot arg2 because the arg3 is not functioning.
System level current is outside of range.,"voltage, current",train,['current'],System level is outside of range.
gdrcopy: Checking required modules: module nvidia is not loaded,service,train,['gdrcopy:'],Checking required modules: module nvidia is not loaded
The arg1 sensor has failed with a value of arg2 degrees Celsius.,board,test,"['sensor', 'degrees']",The arg1 has failed with a value of arg2 Celsius.
The arg1 sensor has failed with value the arg2 degrees Celsius.,board,train,"['sensor', 'degrees']",The arg1 has failed with value the arg2 Celsius.
"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 668 Failure Reason [E] Lost membership in cluster sr06.[sth NODE ID]. Unmounting file systems.",file system,train,"['mmfs:', 'Error=MMFS_PHOENIX,']","ID=[ID], Tag=[ID]: reason 668 Failure Reason [E] Lost membership in cluster sr06.[sth NODE ID]. Unmounting file systems."
mmsysmon: [E] Event raised: The Spectrum Scale service process is unresponsive [path] node. Normal operation be done,file system,train,"['Event', 'mmsysmon:']",[E] raised: The Spectrum Scale service process is unresponsive [path] node. Normal operation be done
Insufficient server cooling,board,train,['cooling'],Insufficient server
The PERC storage adapter in arg1 is not supported by the installed storage backplane.,board,train,"['adapter', 'storage']",The PERC in arg1 is not supported by the installed backplane.
PSU arg1 reported input over current fault and has been turned off.,"voltage, current",train,"['off.', 'input']",PSU arg1 reported over current fault and has been turned
"openib[eth ID]: Module ib_uverbs belong to kernel-modules which is not a part of MLNX_OFED, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]","bios, firmware, driver",train,"['ID]:', 'openib[eth']","Module ib_uverbs belong to kernel-modules which is not a part of MLNX_OFED, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]"
Logical drives previously failed.,storage,train,['drives'],Logical previously failed.
"The power input for power supply arg1 is outside of the allowable range, but it is attached to the system.",power,train,"['system.', 'power']","The input for supply arg1 is outside of the allowable range, but it is attached to the"
"kernel: LustreError: [kNUM]: MGC[ip]@o2ib[eth ID]: The configuration log 'lscr[kNUM]lient' failed (-4). This may be the result of communication between this node and the MGS, a bad configuration, or other errors. See the syslog for more information.",file system,test,"['LustreError:', 'syslog', 'kernel:']","[kNUM]: MGC[ip]@o2ib[eth ID]: The configuration log 'lscr[kNUM]lient' failed (-4). This may be the result of communication between this node and the MGS, a bad configuration, or other errors. See the for more information."
The power supply unit (PSU) arg1 is disabled because of a generation mismatch and therefore the PSU is not supported on the server.,power,train,"['server.', 'power', 'PSU']",The supply unit (PSU) arg1 is disabled because of a generation mismatch and therefore the is not supported on the
Backplane arg1 signal cable disconnected.,board,train,['Backplane'],arg1 signal cable disconnected.
"arg1 Drive arg2 - S/N arg3 , incorrect status = arg4 \n arg5 .",storage,train,"['S/N', 'arg5']","arg1 Drive arg2 - arg3 , incorrect status = arg4 \n ."
kernel: mlx5_core [device id]: print_health_info:468:([PID]): synd [ADDR]: unrecognized error,switch,train,['kernel:'],mlx5_core [device id]: print_health_info:468:([PID]): synd [ADDR]: unrecognized error
Slot %1 Smart Array: Data in write cache hasbeen lost,storage,train,['Slot'],%1 Smart Array: Data in write cache hasbeen lost
Unable to complete the Post Package Repair (PPR) operation because of an issue in the DIMM memory slot arg1 .,memory,train,"['memory', 'slot']",Unable to complete the Post Package Repair (PPR) operation because of an issue in the DIMM arg1 .
systemd: gdrcopy.service: Failed with result 'exit-code'.,service,train,['Failed'],systemd: gdrcopy.service: with result 'exit-code'.
kernel: ACPI: Skipping parse of AML opcode: OpcodeName unavailable ([NUM]x[kNUM]),"bios, firmware, driver",train,['ACPI:'],kernel: Skipping parse of AML opcode: OpcodeName unavailable ([NUM]x[kNUM])
NVDIMM error during a data backup,memory,train,['backup'],NVDIMM error during a data
abrt-dump-journal-oops: abrt-dump-journal-oops: Found oopses: 2,os,test,['Found'],abrt-dump-journal-oops: abrt-dump-journal-oops: oopses: 2
Bad block extended sense error on arg1 .,storage,train,['block'],Bad extended sense error on arg1 .
"NVRM: Xid (PCI:0000:01:00): 94, pid=7062, Contained: CE User Channel (0x9). RST: No, D-RST: No",gpu,train,"['NVRM:', 'Xid']","(PCI:0000:01:00): 94, pid=7062, Contained: CE User Channel (0x9). RST: No, D-RST: No"
"openib[eth ID]: Module rdma_cm does not exist, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]","bios, firmware, driver",train,['openib[eth'],"ID]: Module rdma_cm does not exist, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]"
The fan area is open.,fan,train,['fan'],The area is open.
One or more Uncorrectable Memory errors occurred in the previous boot.,memory,train,"['Memory', 'errors']",One or more Uncorrectable occurred in the previous boot.
The system performance degraded because power draw exceeds the power threshold.,power,test,['threshold.'],The system performance degraded because power draw exceeds the power
Power supply arg1 voltage rating does not match the systems requirements.,power,test,"['Power', 'requirements.']",supply arg1 voltage rating does not match the systems
"systemd: LSF.mount: Mount process exited, code=exited status=16",service,train,['systemd:'],"LSF.mount: Mount process exited, code=exited status=16"
A block on arg1 was punctured by the controller.,storage,train,['controller.'],A block on arg1 was punctured by the
The Test Network Connection ping test timed-out.,nic,train,['ping'],The Test Network Connection test timed-out.
Storage system power supply failed,power,test,['power'],Storage system supply failed
Unable to connect to FTP server.,nic,train,['server.'],Unable to connect to FTP
nv-fabricmanager: GPU or NVSwitch failure occurred and degraded mode configuration to abort Fabric Manager,"bios, firmware, driver",train,"['nv-fabricmanager:', 'GPU']",or NVSwitch failure occurred and degraded mode configuration to abort Fabric Manager
CPU arg1 temperature is greater than the upper critical threshold.,cpu,test,['CPU'],arg1 temperature is greater than the upper critical threshold.
The memory module arg1 arg2 voltage is less than the lower critical threshold.,"voltage, current",train,"['voltage', 'threshold.']",The memory module arg1 arg2 is less than the lower critical
Unable to initialize the selected physical disk drive(s).,storage,train,['disk'],Unable to initialize the selected physical drive(s).
The Non-Volatile Dual In-line Memory Module (NVDIMM) device in the slot arg1 is not responding and is disabled.,memory,test,"['disabled.', 'Memory']",The Non-Volatile Dual In-line Module (NVDIMM) device in the slot arg1 is not responding and is
Unrecoverable I/O Error has occurred. System Firmware will log additional details in a separate IML message entry if possible.,"bus, io module, pci",train,"['Error', 'System']",Unrecoverable I/O has occurred. Firmware will log additional details in a separate IML message entry if possible.
"NVDIMM Error: Proc %1, DIMM %2 is NOTconfigured for Sub-NUMA Clustering",memory,train,"['Error:', 'DIMM']","NVDIMM Proc %1, %2 is NOTconfigured for Sub-NUMA Clustering"
Low memory condition detected.,memory,train,['memory'],Low condition detected.
The system halted because system power exceeds capacity.,power,train,['power'],The system halted because system exceeds capacity.
pmie_daily: mktemp: failed to create directory via template ??path]?? no space left on device,file system,train,"['mktemp:', 'directory']",pmie_daily: failed to create via template ??path]?? no space left on device
"XID 63 Dynamic Page Retirement: New retired page, reload the driver to activate. (<address>)",gpu,train,"['63', 'XID']","Dynamic Page Retirement: New retired page, reload the driver to activate. (<address>)"
The storage battery for disk drive bay arg1 has failed.,battery,train,['battery'],The storage for disk drive bay arg1 has failed.
